date_key,month_start,year,month_number,month_label,quarter_seq,business_quarter,year_quarter,month_in_quarter
202201,2022-01-01,2022,1,2022-01,1,Q01,2022-Q1,1
202202,2022-02-01,2022,2,2022-02,1,Q01,2022-Q1,2
202203,2022-03-01,2022,3,2022-03,1,Q01,2022-Q1,3
202204,2022-04-01,2022,4,2022-04,2,Q02,2022-Q2,1
202205,2022-05-01,2022,5,2022-05,2,Q02,2022-Q2,2
202206,2022-06-01,2022,6,2022-06,2,Q02,2022-Q2,3
202207,2022-07-01,2022,7,2022-07,3,Q03,2022-Q3,1
202208,2022-08-01,2022,8,2022-08,3,Q03,2022-Q3,2
202209,2022-09-01,2022,9,2022-09,3,Q03,2022-Q3,3
202210,2022-10-01,2022,10,2022-10,4,Q04,2022-Q4,1
202211,2022-11-01,2022,11,2022-11,4,Q04,2022-Q4,2
202212,2022-12-01,2022,12,2022-12,4,Q04,2022-Q4,3
202301,2023-01-01,2023,1,2023-01,5,Q05,2023-Q1,1
202302,2023-02-01,2023,2,2023-02,5,Q05,2023-Q1,2
202303,2023-03-01,2023,3,2023-03,5,Q05,2023-Q1,3
202304,2023-04-01,2023,4,2023-04,6,Q06,2023-Q2,1
202305,2023-05-01,2023,5,2023-05,6,Q06,2023-Q2,2
202306,2023-06-01,2023,6,2023-06,6,Q06,2023-Q2,3
202307,2023-07-01,2023,7,2023-07,7,Q07,2023-Q3,1
202308,2023-08-01,2023,8,2023-08,7,Q07,2023-Q3,2
202309,2023-09-01,2023,9,2023-09,7,Q07,2023-Q3,3
202310,2023-10-01,2023,10,2023-10,8,Q08,2023-Q4,1
202311,2023-11-01,2023,11,2023-11,8,Q08,2023-Q4,2
202312,2023-12-01,2023,12,2023-12,8,Q08,2023-Q4,3
202401,2024-01-01,2024,1,2024-01,9,Q09,2024-Q1,1
202402,2024-02-01,2024,2,2024-02,9,Q09,2024-Q1,2
202403,2024-03-01,2024,3,2024-03,9,Q09,2024-Q1,3
202404,2024-04-01,2024,4,2024-04,10,Q10,2024-Q2,1
202405,2024-05-01,2024,5,2024-05,10,Q10,2024-Q2,2
202406,2024-06-01,2024,6,2024-06,10,Q10,2024-Q2,3
202407,2024-07-01,2024,7,2024-07,11,Q11,2024-Q3,1
202408,2024-08-01,2024,8,2024-08,11,Q11,2024-Q3,2
202409,2024-09-01,2024,9,2024-09,11,Q11,2024-Q3,3
202410,2024-10-01,2024,10,2024-10,12,Q12,2024-Q4,1
202411,2024-11-01,2024,11,2024-11,12,Q12,2024-Q4,2
202412,2024-12-01,2024,12,2024-12,12,Q12,2024-Q4,3
202501,2025-01-01,2025,1,2025-01,13,Q13,2025-Q1,1
202502,2025-02-01,2025,2,2025-02,13,Q13,2025-Q1,2
202503,2025-03-01,2025,3,2025-03,13,Q13,2025-Q1,3
202504,2025-04-01,2025,4,2025-04,14,Q14,2025-Q2,1
202505,2025-05-01,2025,5,2025-05,14,Q14,2025-Q2,2
202506,2025-06-01,2025,6,2025-06,14,Q14,2025-Q2,3
