cashflow_id,date_key,transaction_date,quarter_seq,flow_direction,flow_category,flow_category_cn,amount,signed_amount,control_source
CF0001,202201,2022-01-18,1,Inflow,financing_in,融资及注资,2753712,2753712,practicum_reconciled
CF0002,202202,2022-02-18,1,Inflow,financing_in,融资及注资,2885098,2885098,practicum_reconciled
CF0003,202203,2022-03-18,1,Inflow,financing_in,融资及注资,4361190,4361190,practicum_reconciled
CF0004,202201,2022-01-18,1,Outflow,productive_fixed_assets,生产性固定资产,1377961,-1377961,practicum_reconciled
CF0005,202202,2022-02-18,1,Outflow,productive_fixed_assets,生产性固定资产,1359996,-1359996,practicum_reconciled
CF0006,202203,2022-03-18,1,Outflow,productive_fixed_assets,生产性固定资产,1762043,-1762043,practicum_reconciled
CF0007,202201,2022-01-18,1,Outflow,raw_material_warehouse,原材料仓储,220774,-220774,practicum_reconciled
CF0008,202202,2022-02-18,1,Outflow,raw_material_warehouse,原材料仓储,260568,-260568,practicum_reconciled
CF0009,202203,2022-03-18,1,Outflow,raw_material_warehouse,原材料仓储,318658,-318658,practicum_reconciled
CF0010,202201,2022-01-18,1,Outflow,labor_cost,人员成本,55054,-55054,practicum_reconciled
CF0011,202202,2022-02-18,1,Outflow,labor_cost,人员成本,71440,-71440,practicum_reconciled
CF0012,202203,2022-03-18,1,Outflow,labor_cost,人员成本,89506,-89506,practicum_reconciled
CF0013,202201,2022-01-18,1,Outflow,market_and_initial_product,市场推广与首批产品,392078,-392078,practicum_reconciled
CF0014,202202,2022-02-18,1,Outflow,market_and_initial_product,市场推广与首批产品,433213,-433213,practicum_reconciled
CF0015,202203,2022-03-18,1,Outflow,market_and_initial_product,市场推广与首批产品,554709,-554709,practicum_reconciled
CF0016,202201,2022-01-18,1,Outflow,raw_material_purchase,原材料采购,95240,-95240,practicum_reconciled
CF0017,202202,2022-02-18,1,Outflow,raw_material_purchase,原材料采购,121109,-121109,practicum_reconciled
CF0018,202203,2022-03-18,1,Outflow,raw_material_purchase,原材料采购,143651,-143651,practicum_reconciled
CF0019,202201,2022-01-18,1,Outflow,r_and_d,研发投入,327860,-327860,practicum_reconciled
CF0020,202202,2022-02-18,1,Outflow,r_and_d,研发投入,270591,-270591,practicum_reconciled
CF0021,202203,2022-03-18,1,Outflow,r_and_d,研发投入,401549,-401549,practicum_reconciled
CF0022,202204,2022-04-18,2,Inflow,interest_income,存款利息,6742,6742,practicum_reconciled
CF0023,202205,2022-05-18,2,Inflow,interest_income,存款利息,8432,8432,practicum_reconciled
CF0024,202206,2022-06-18,2,Inflow,interest_income,存款利息,9242,9242,practicum_reconciled
CF0025,202204,2022-04-18,2,Inflow,financing_in,融资及注资,1562354,1562354,practicum_reconciled
CF0026,202205,2022-05-18,2,Inflow,financing_in,融资及注资,1581869,1581869,practicum_reconciled
CF0027,202206,2022-06-18,2,Inflow,financing_in,融资及注资,1855777,1855777,practicum_reconciled
CF0028,202204,2022-04-18,2,Outflow,productive_fixed_assets,生产性固定资产,1125766,-1125766,practicum_reconciled
CF0029,202205,2022-05-18,2,Outflow,productive_fixed_assets,生产性固定资产,1430372,-1430372,practicum_reconciled
CF0030,202206,2022-06-18,2,Outflow,productive_fixed_assets,生产性固定资产,1346862,-1346862,practicum_reconciled
CF0031,202204,2022-04-18,2,Outflow,raw_material_warehouse,原材料仓储,5736,-5736,practicum_reconciled
CF0032,202205,2022-05-18,2,Outflow,raw_material_warehouse,原材料仓储,6297,-6297,practicum_reconciled
CF0033,202206,2022-06-18,2,Outflow,raw_material_warehouse,原材料仓储,6867,-6867,practicum_reconciled
CF0034,202204,2022-04-18,2,Outflow,labor_cost,人员成本,52658,-52658,practicum_reconciled
CF0035,202205,2022-05-18,2,Outflow,labor_cost,人员成本,58913,-58913,practicum_reconciled
CF0036,202206,2022-06-18,2,Outflow,labor_cost,人员成本,58429,-58429,practicum_reconciled
