month_key,product_key,beginning_inventory_qty,production_receipts_qty,demand_qty,shipped_qty,ending_inventory_qty,stockout_qty,inventory_value,warehouse_capacity_qty,days_of_supply,inventory_status
202201,101,0,0,0,0,0,0,0,176,0.0,健康
202201,102,0,0,0,0,0,0,0,145,0.0,健康
202201,201,0,0,0,0,0,0,0,115,0.0,健康
202201,202,0,0,0,0,0,0,0,84,0.0,健康
202202,101,0,0,0,0,0,0,0,176,0.0,健康
202202,102,0,0,0,0,0,0,0,145,0.0,健康
202202,201,0,0,0,0,0,0,0,115,0.0,健康
202202,202,0,0,0,0,0,0,0,84,0.0,健康
202203,101,0,0,0,0,0,0,0,176,0.0,健康
202203,102,0,0,0,0,0,0,0,145,0.0,健康
202203,201,0,0,0,0,0,0,0,115,0.0,健康
202203,202,0,0,0,0,0,0,0,84,0.0,健康
202204,101,0,64,0,0,64,0,116480,176,90.0,偏高
202204,102,0,64,0,0,64,0,142720,145,90.0,偏高
202204,201,0,0,0,0,0,0,0,115,0.0,健康
202204,202,0,0,0,0,0,0,0,84,0.0,健康
202205,101,64,1,0,0,65,0,118300,176,90.0,偏高
202205,102,64,1,0,0,65,0,144950,145,90.0,偏高
202205,201,0,0,0,0,0,0,0,115,0.0,健康
202205,202,0,0,0,0,0,0,0,84,0.0,健康
202206,101,65,0,0,0,65,0,118300,176,90.0,偏高
202206,102,65,0,0,0,65,0,144950,145,90.0,偏高
202206,201,0,0,0,0,0,0,0,115,0.0,健康
202206,202,0,0,0,0,0,0,0,84,0.0,健康
202207,101,65,0,0,0,65,0,118300,176,90.0,偏高
202207,102,65,0,0,0,65,0,144950,145,90.0,偏高
202207,201,0,0,0,0,0,0,0,115,0.0,健康
202207,202,0,0,0,0,0,0,0,84,0.0,健康
202208,101,65,0,0,0,65,0,118300,176,90.0,偏高
202208,102,65,0,0,0,65,0,144950,145,90.0,偏高
202208,201,0,0,0,0,0,0,0,115,0.0,健康
202208,202,0,0,0,0,0,0,0,84,0.0,健康
202209,101,65,0,0,0,65,0,118300,176,90.0,偏高
202209,102,65,0,0,0,65,0,144950,145,90.0,偏高
202209,201,0,0,0,0,0,0,0,115,0.0,健康
202209,202,0,0,0,0,0,0,0,84,0.0,健康
202210,101,65,0,0,0,65,0,118300,176,90.0,偏高
202210,102,65,0,0,0,65,0,144950,145,90.0,偏高
202210,201,0,0,0,0,0,0,0,115,0.0,健康
202210,202,0,0,0,0,0,0,0,84,0.0,健康
202211,101,65,0,0,0,65,0,118300,176,90.0,偏高
202211,102,65,0,0,0,65,0,144950,145,90.0,偏高
202211,201,0,0,0,0,0,0,0,115,0.0,健康
202211,202,0,0,0,0,0,0,0,84,0.0,健康
202212,101,65,0,0,0,65,0,118300,176,90.0,偏高
202212,102,65,0,0,0,65,0,144950,145,90.0,偏高
202212,201,0,0,0,0,0,0,0,115,0.0,健康
202212,202,0,0,0,0,0,0,0,84,0.0,健康
202301,101,65,123,126,126,62,0,112840,176,14.8,健康
202301,102,65,73,74,74,64,0,142720,145,25.9,健康
202301,201,0,0,0,0,0,0,0,115,0.0,健康
202301,202,0,0,0,0,0,0,0,84,0.0,健康
202302,101,62,76,74,74,64,0,116480,176,25.9,健康
202302,102,64,146,148,148,62,0,138260,145,12.6,健康
202302,201,0,0,0,0,0,0,0,115,0.0,健康
202302,202,0,0,0,0,0,0,0,84,0.0,健康
202303,101,64,160,162,162,62,0,112840,176,11.5,健康
202303,102,62,74,72,72,64,0,142720,145,26.7,健康
202303,201,0,0,0,0,0,0,0,115,0.0,健康
202303,202,0,0,0,0,0,0,0,84,0.0,健康
202304,101,62,87,86,86,63,0,114660,176,22.0,健康
202304,102,64,52,52,52,64,0,142720,145,36.9,健康
202304,201,0,0,0,0,0,0,0,115,0.0,健康
202304,202,0,0,0,0,0,0,0,84,0.0,健康
202305,101,63,68,67,67,64,0,116480,176,28.7,健康
202305,102,64,86,87,87,63,0,140490,145,21.7,健康
202305,201,0,0,0,0,0,0,0,115,0.0,健康
202305,202,0,0,0,0,0,0,0,84,0.0,健康
202306,101,64,128,129,129,63,0,114660,176,14.7,健康
202306,102,63,51,50,50,64,0,142720,145,38.4,健康
202306,201,0,0,0,0,0,0,0,115,0.0,健康
202306,202,0,0,0,0,0,0,0,84,0.0,健康
202307,101,63,2,0,0,65,0,118300,264,90.0,偏高
202307,102,64,1,0,0,65,0,144950,218,90.0,偏高
202307,201,0,0,0,0,0,0,0,172,0.0,健康
202307,202,0,0,0,0,0,0,0,126,0.0,健康
202308,101,65,0,0,0,65,0,118300,264,90.0,偏高
202308,102,65,0,0,0,65,0,144950,218,90.0,偏高
