month_key,product_key,planned_units,actual_good_units,defect_units,capacity_allocated_units,downtime_hours,overtime_hours,capacity_utilization
202201,101,0,0,0,62,7.6,2.6,0.0
202201,102,0,0,0,62,2.7,1.7,0.0
202201,201,0,0,0,62,6.0,0.4,0.0
202201,202,0,0,0,64,4.1,1.7,0.0
202202,101,0,0,0,62,4.9,1.7,0.0
202202,102,0,0,0,62,2.3,2.3,0.0
202202,201,0,0,0,62,2.3,0.9,0.0
202202,202,0,0,0,64,5.0,2.5,0.0
202203,101,0,0,0,62,10.0,0.3,0.0
202203,102,0,0,0,62,7.3,0.6,0.0
202203,201,0,0,0,62,9.5,1.5,0.0
202203,202,0,0,0,64,7.7,0.3,0.0
202204,101,65,64,1,123,2.7,2.3,0.5285
202204,102,65,64,1,123,2.5,1.7,0.5285
202204,201,0,0,0,2,1.6,1.0,0.0
202204,202,0,0,0,2,5.2,0.1,0.0
202205,101,1,1,0,83,3.1,0.9,0.012
202205,102,1,1,0,83,8.4,2.0,0.012
202205,201,0,0,0,42,8.8,1.3,0.0
202205,202,0,0,0,42,5.1,2.1,0.0
202206,101,0,0,0,62,2.5,0.0,0.0
202206,102,0,0,0,62,9.8,2.7,0.0
202206,201,0,0,0,62,7.7,0.4,0.0
202206,202,0,0,0,64,8.8,0.2,0.0
202207,101,0,0,0,67,6.8,1.5,0.0
202207,102,0,0,0,67,3.0,0.2,0.0
202207,201,0,0,0,67,8.9,2.9,0.0
202207,202,0,0,0,69,3.9,2.9,0.0
202208,101,0,0,0,67,2.9,2.0,0.0
202208,102,0,0,0,67,8.8,2.0,0.0
202208,201,0,0,0,67,1.6,0.8,0.0
202208,202,0,0,0,69,7.1,0.7,0.0
202209,101,0,0,0,67,9.4,1.6,0.0
202209,102,0,0,0,67,7.9,1.5,0.0
202209,201,0,0,0,67,8.1,0.6,0.0
202209,202,0,0,0,69,8.7,2.6,0.0
202210,101,0,0,0,72,4.4,0.1,0.0
202210,102,0,0,0,72,9.9,1.9,0.0
202210,201,0,0,0,72,3.6,0.7,0.0
202210,202,0,0,0,74,5.7,1.9,0.0
202211,101,0,0,0,72,2.7,1.1,0.0
202211,102,0,0,0,72,9.8,2.8,0.0
202211,201,0,0,0,72,3.7,1.7,0.0
202211,202,0,0,0,74,3.6,0.8,0.0
202212,101,0,0,0,72,7.7,1.6,0.0
202212,102,0,0,0,72,3.1,2.5,0.0
202212,201,0,0,0,72,4.5,1.6,0.0
202212,202,0,0,0,74,9.0,2.5,0.0
202301,101,126,123,3,187,2.5,1.9,0.6738
202301,102,74,73,1,110,9.1,0.9,0.6727
202301,201,0,0,0,2,3.4,0.4,0.0
202301,202,0,0,0,1,8.5,1.3,0.0
202302,101,77,76,1,102,2.1,0.5,0.7549
202302,102,149,146,3,196,2.7,1.6,0.7602
202302,201,0,0,0,1,3.7,0.3,0.0
202302,202,0,0,0,1,3.9,2.4,0.0
202303,101,163,160,3,204,5.5,0.5,0.799
202303,102,75,74,1,94,9.3,2.9,0.7979
202303,201,0,0,0,1,8.0,1.2,0.0
202303,202,0,0,0,1,8.7,2.4,0.0
202304,101,89,87,2,191,2.3,0.2,0.466
202304,102,53,52,1,115,4.7,2.4,0.4609
202304,201,0,0,0,2,7.2,1.9,0.0
202304,202,0,0,0,2,3.8,2.0,0.0
202305,101,69,68,1,135,7.9,0.6,0.5111
202305,102,88,86,2,171,2.7,2.7,0.5146
202305,201,0,0,0,2,8.4,0.5,0.0
202305,202,0,0,0,2,5.9,1.3,0.0
202306,101,130,128,2,218,1.6,1.9,0.5963
202306,102,52,51,1,88,5.6,0.3,0.5909
202306,201,0,0,0,2,6.7,1.2,0.0
202306,202,0,0,0,2,6.2,2.7,0.0
202307,101,2,2,0,142,7.0,2.2,0.0141
202307,102,1,1,0,94,9.0,2.3,0.0106
202307,201,0,0,0,47,7.1,1.4,0.0
202307,202,0,0,0,47,6.5,2.0,0.0
202308,101,0,0,0,82,9.8,1.6,0.0
202308,102,0,0,0,82,5.2,2.6,0.0
202308,201,0,0,0,82,6.4,1.4,0.0
202308,202,0,0,0,84,1.6,0.8,0.0
202309,101,0,0,0,82,7.0,0.9,0.0
202309,102,0,0,0,82,8.4,2.8,0.0
202309,201,0,0,0,82,3.6,1.9,0.0
202309,202,0,0,0,84,6.9,2.5,0.0
202310,101,190,188,2,298,3.5,0.8,0.6376
202310,102,56,55,1,89,3.0,2.4,0.6292
202310,201,0,0,0,2,8.6,0.5,0.0
202310,202,0,0,0,1,9.4,0.8,0.0
202311,101,243,239,4,309,3.1,1.7,0.7864
202311,102,61,60,1,79,5.6,1.0,0.7722
202311,201,0,0,0,1,3.3,0.7,0.0
202311,202,0,0,0,1,5.2,1.6,0.0
202312,101,223,193,5,198,5.7,31.1,1.0
202312,102,125,109,2,111,6.4,30.5,1.0
202312,201,45,40,1,41,9.1,29.3,1.0
202312,202,45,39,1,40,5.4,29.3,1.0
202401,101,73,72,1,163,6.4,0.4,0.4479
202401,102,40,39,1,90,9.0,2.0,0.4444
202401,201,62,61,1,139,8.6,1.0,0.446
202401,202,48,47,1,108,9.3,2.9,0.4444
202402,101,28,27,1,87,7.3,1.1,0.3218
202402,102,38,37,1,117,7.9,2.3,0.3248
202402,201,45,44,1,138,5.3,1.8,0.3261
202402,202,52,51,1,158,6.2,0.3,0.3291
202403,101,70,68,2,177,2.9,0.6,0.3955
202403,102,10,10,0,27,4.8,0.3,0.3704
202403,201,62,61,1,157,6.0,2.3,0.3949
202403,202,55,54,1,139,9.1,2.3,0.3957
202404,101,2,2,0,6,8.2,1.6,0.3333
202404,102,0,0,0,2,2.0,1.2,0.0
202404,201,194,190,4,387,6.8,0.4,0.5013
202404,202,72,71,1,145,2.5,2.9,0.4966
202405,101,0,0,0,2,2.4,0.8,0.0
202405,102,0,0,0,2,9.7,1.2,0.0
202405,201,275,271,4,457,4.2,1.1,0.6018
202405,202,47,46,1,79,6.8,2.7,0.5949
202406,101,0,0,0,2,7.1,2.9,0.0
202406,102,0,0,0,1,6.8,2.8,0.0
202406,201,315,310,5,418,2.3,0.7,0.7536
202406,202,89,87,2,119,6.4,0.2,0.7479
202407,101,269,263,6,343,8.8,0.6,0.7843
202407,102,231,227,4,295,7.5,0.2,0.7831
202407,201,25,25,0,33,6.5,0.0,0.7576
202407,202,22,22,0,29,4.4,2.6,0.7586
202408,101,270,266,4,370,7.6,1.2,0.7297
202408,102,239,236,3,328,2.7,0.3,0.7287
202408,201,0,0,0,1,9.4,2.3,0.0
202408,202,0,0,0,1,8.6,0.1,0.0
202409,101,442,437,5,509,5.9,10.5,0.8684
202409,102,164,162,2,189,7.5,8.1,0.8677
202409,201,0,0,0,1,4.9,2.0,0.0
202409,202,0,0,0,1,1.7,0.4,0.0
202410,101,236,232,4,455,5.2,0.2,0.5187
202410,102,156,152,4,301,6.8,1.8,0.5183
202410,201,0,0,0,2,3.0,1.5,0.0
202410,202,0,0,0,2,2.0,2.1,0.0
202411,101,284,278,6,508,7.2,1.3,0.5591
202411,102,138,135,3,248,5.6,0.8,0.5565
202411,201,0,0,0,2,4.8,1.3,0.0
202411,202,0,0,0,2,7.7,2.1,0.0
202412,101,365,358,7,507,5.3,0.2,0.7199
202412,102,180,177,3,251,5.5,1.1,0.7171
202412,201,0,0,0,1,4.3,2.8,0.0
202412,202,0,0,0,1,5.5,0.6,0.0
202501,101,357,353,4,387,5.4,17.7,0.9225
202501,102,286,280,6,311,5.8,18.8,0.9196
202501,201,0,0,0,1,4.3,0.6,0.0
202501,202,0,0,0,1,4.6,0.1,0.0
202502,101,340,336,4,359,7.4,21.2,0.9471
202502,102,321,314,7,339,7.2,20.7,0.9469
202502,201,0,0,0,1,2.2,2.8,0.0
202502,202,0,0,0,1,6.1,0.8,0.0
202503,101,473,404,8,412,6.4,31.6,1.0
202503,102,328,282,4,286,11.1,31.7,1.0
202503,201,0,0,0,1,8.9,2.1,0.0
202503,202,0,0,0,1,3.9,0.0,0.0
202504,101,609,601,8,653,4.5,20.5,0.9326
202504,102,302,298,4,325,5.5,19.4,0.9292
202504,201,0,0,0,1,5.3,1.5,0.0
202504,202,0,0,0,1,8.6,2.0,0.0
202505,101,345,341,4,423,9.8,0.7,0.8156
202505,102,453,443,10,555,8.7,0.7,0.8162
202505,201,0,0,0,1,5.0,0.2,0.0
202505,202,0,0,0,1,7.9,0.6,0.0
202506,101,568,527,10,537,7.4,30.3,1.0
202506,102,466,434,7,441,8.8,29.5,1.0
202506,201,0,0,0,1,5.3,0.5,0.0
202506,202,0,0,0,1,8.6,0.1,0.0
