order_id,order_date_key,order_date,promised_date,shipped_date,product_key,channel_key,region_key,ordered_qty,shipped_qty,unit_price,gross_sales,discount_amount,net_sales,unit_cost,cogs,gross_profit,delivery_days,on_time_flag,full_fill_flag,order_status,payment_term_days
SO00001,202301,2023-01-03,2023-01-10,2023-01-10,101,3,1,24,24,2749.33,72509.89,6525.89,65984.0,1818.53,43644.76,22339.24,7,1,1,Completed,30
SO00002,202301,2023-01-06,2023-01-14,2023-01-14,102,3,4,27,27,2790.48,82794.51,7451.51,75343.0,2200.7,59419.0,15924.0,8,1,1,Completed,30
SO00003,202301,2023-01-12,2023-01-19,2023-01-19,101,3,1,25,25,2688.36,73856.04,6647.04,67209.0,1858.69,46467.32,20741.68,7,1,1,Completed,30
SO00004,202301,2023-01-21,2023-01-27,2023-01-27,102,1,1,21,21,2601.67,54635.0,0.0,54635.0,1918.76,40294.04,14340.96,6,1,1,Completed,0
SO00005,202301,2023-01-14,2023-01-23,2023-01-23,101,3,2,27,27,2713.33,80505.49,7245.49,73260.0,1830.73,49429.83,23830.17,9,1,1,Completed,30
SO00006,202301,2023-01-09,2023-01-19,2023-01-19,101,1,1,23,23,2894.3,66569.0,0.0,66569.0,1799.04,41378.03,25190.97,10,1,1,Completed,0
SO00007,202301,2023-01-13,2023-01-21,2023-01-21,102,1,2,26,26,2730.88,71003.0,0.0,71003.0,2196.87,57118.53,13884.47,8,1,1,Completed,0
SO00008,202301,2023-01-11,2023-01-22,2023-01-22,101,3,3,27,27,2793.48,82883.52,7459.52,75424.0,1835.48,49558.04,25865.96,11,1,1,Completed,30
SO00009,202302,2023-02-11,2023-02-21,2023-02-21,101,3,2,22,22,2711.86,65561.54,5900.54,59661.0,1817.44,39983.74,19677.26,10,1,1,Completed,30
SO00010,202302,2023-02-07,2023-02-15,2023-02-15,101,3,2,15,15,2694.6,44416.48,3997.48,40419.0,1826.39,27395.9,13023.1,8,1,1,Completed,30
SO00011,202302,2023-02-03,2023-02-14,2023-02-17,102,3,4,34,34,2743.21,102493.41,9224.41,93269.0,2201.47,74850.09,18418.91,14,0,1,Completed,30
SO00012,202302,2023-02-23,2023-03-06,2023-03-06,102,3,2,24,24,2698.67,71173.63,6405.63,64768.0,2221.57,53317.71,11450.29,11,1,1,Completed,30
SO00013,202302,2023-02-17,2023-03-01,2023-03-01,101,3,4,37,37,2810.11,114257.14,10283.14,103974.0,1844.83,68258.86,35715.14,12,1,1,Completed,30
SO00014,202302,2023-02-06,2023-02-18,2023-02-18,102,1,2,20,20,2616.8,52336.0,0.0,52336.0,2200.29,44005.84,8330.16,12,1,1,Completed,0
SO00015,202302,2023-02-08,2023-02-15,2023-02-15,102,3,3,33,33,2684.15,97337.36,8760.36,88577.0,2227.93,73521.59,15055.41,7,1,1,Completed,30
SO00016,202302,2023-02-09,2023-02-20,2023-02-20,102,2,2,37,37,2888.46,110178.35,3305.35,106873.0,2287.0,84618.97,22254.03,11,1,1,Completed,15
SO00017,202303,2023-03-07,2023-03-15,2023-03-15,101,2,3,39,39,2909.59,116983.51,3509.51,113474.0,1865.41,72750.85,40723.15,8,1,1,Completed,15
SO00018,202303,2023-03-07,2023-03-13,2023-03-13,101,3,2,24,24,2767.58,72991.21,6569.21,66422.0,1793.93,43054.33,23367.67,6,1,1,Completed,30
SO00019,202303,2023-03-22,2023-04-02,2023-04-02,102,3,2,19,19,2557.21,53392.31,4805.31,48587.0,1748.26,33216.98,15370.02,11,1,1,Completed,30
SO00020,202303,2023-03-09,2023-03-17,2023-03-17,102,2,3,21,21,2631.67,56974.23,1709.23,55265.0,2218.84,46595.61,8669.39,8,1,1,Completed,15
SO00021,202303,2023-03-22,2023-03-31,2023-03-31,101,3,1,37,37,2816.84,114530.77,10307.77,104223.0,1842.2,68161.31,36061.69,9,1,1,Completed,30
SO00022,202303,2023-03-17,2023-03-28,2023-03-28,101,2,3,40,40,2716.78,112031.96,3360.96,108671.0,1830.97,73238.97,35432.03,11,1,1,Completed,15
SO00023,202303,2023-03-11,2023-03-21,2023-03-21,102,1,1,32,32,2826.53,90449.0,0.0,90449.0,2202.57,70482.34,19966.66,10,1,1,Completed,0
SO00024,202303,2023-03-21,2023-03-27,2023-03-27,101,1,4,22,22,2550.23,56105.0,0.0,56105.0,1806.49,39742.67,16362.33,6,1,1,Completed,0
SO00025,202304,2023-04-03,2023-04-11,2023-04-11,102,3,2,14,14,2762.21,42495.6,3824.6,38671.0,2210.38,30945.25,7725.75,8,1,1,Completed,30
SO00026,202304,2023-04-07,2023-04-15,2023-04-15,102,1,4,12,12,2707.33,32488.0,0.0,32488.0,2269.39,27232.66,5255.34,8,1,1,Completed,0
SO00027,202304,2023-04-04,2023-04-16,2023-04-18,101,2,4,24,24,2789.54,69019.59,2070.59,66949.0,1868.96,44855.1,22093.9,14,0,1,Completed,15
SO00028,202304,2023-04-18,2023-04-29,2023-04-29,101,1,3,19,19,2787.79,52968.0,0.0,52968.0,1819.0,34561.05,18406.95,11,1,1,Completed,0
SO00029,202304,2023-04-05,2023-04-15,2023-04-15,102,1,1,14,14,2608.14,36514.0,0.0,36514.0,1909.9,26738.65,9775.35,10,1,1,Completed,0
SO00030,202304,2023-04-21,2023-04-28,2023-04-28,102,2,2,12,12,2897.5,35845.36,1075.36,34770.0,2246.45,26957.4,7812.6,7,1,1,Completed,15
SO00031,202304,2023-04-17,2023-04-24,2023-04-24,101,3,2,22,22,2884.09,69725.27,6275.27,63450.0,1794.25,39473.54,23976.46,7,1,1,Completed,30
SO00032,202304,2023-04-07,2023-04-13,2023-04-13,101,3,3,21,21,2610.29,60237.36,5421.36,54816.0,1814.11,38096.22,16719.78,6,1,1,Completed,30
SO00033,202305,2023-05-17,2023-05-25,2023-05-25,102,1,3,16,16,2891.69,46267.0,0.0,46267.0,2225.73,35611.61,10655.39,8,1,1,Completed,0
SO00034,202305,2023-05-04,2023-05-15,2023-05-15,101,1,4,25,25,2910.4,72760.0,0.0,72760.0,1852.24,46305.92,26454.08,11,1,1,Completed,0
SO00035,202305,2023-05-03,2023-05-15,2023-05-15,102,3,2,19,19,2815.0,58774.73,5289.73,53485.0,2200.62,41811.79,11673.21,12,1,1,Completed,30
SO00036,202305,2023-05-16,2023-05-27,2023-05-27,102,2,2,22,22,2687.5,60953.61,1828.61,59125.0,2200.5,48410.9,10714.1,11,1,1,Completed,15
SO00037,202305,2023-05-06,2023-05-13,2023-05-13,101,1,4,18,18,2650.83,47715.0,0.0,47715.0,1863.97,33551.38,14163.62,7,1,1,Completed,0
SO00038,202305,2023-05-08,2023-05-20,2023-05-20,102,2,1,18,18,2716.67,50412.37,1512.37,48900.0,2243.53,40383.5,8516.5,12,1,1,Completed,15
SO00039,202305,2023-05-06,2023-05-15,2023-05-15,102,1,1,12,12,2742.5,32910.0,0.0,32910.0,2223.21,26678.48,6231.52,9,1,1,Completed,0
SO00040,202305,2023-05-12,2023-05-21,2023-05-21,101,2,2,24,24,2662.96,65887.63,1976.63,63911.0,1843.47,44243.22,19667.78,9,1,1,Completed,15
SO00041,202306,2023-06-08,2023-06-18,2023-06-18,101,3,4,20,20,2884.05,63385.71,5704.71,57681.0,1821.06,36421.16,21259.84,10,1,1,Completed,30
SO00042,202306,2023-06-21,2023-07-02,2023-07-02,101,3,1,24,24,2628.33,69318.68,6238.68,63080.0,1805.56,43333.36,19746.64,11,1,1,Completed,30
SO00043,202306,2023-06-07,2023-06-15,2023-06-15,101,3,3,18,18,2880.61,56979.12,5128.12,51851.0,1808.67,32555.99,19295.01,8,1,1,Completed,30
SO00044,202306,2023-06-04,2023-06-15,2023-06-18,102,1,1,23,23,2719.09,62539.0,0.0,62539.0,2281.74,52480.02,10058.98,14,0,1,Completed,0
SO00045,202306,2023-06-14,2023-06-20,2023-06-20,101,3,2,24,24,2731.0,72026.37,6482.37,65544.0,1856.97,44567.37,20976.63,6,1,1,Completed,30
SO00046,202306,2023-06-22,2023-07-03,2023-07-03,101,3,4,23,23,2706.48,68405.49,6156.49,62249.0,1860.68,42795.7,19453.3,11,1,1,Completed,30
SO00047,202306,2023-06-07,2023-06-15,2023-06-15,102,2,2,27,27,2839.56,79039.18,2371.18,76668.0,2285.77,61715.83,14952.17,8,1,1,Completed,15
SO00048,202306,2023-06-15,2023-06-22,2023-06-22,101,3,2,20,20,2604.45,57240.66,5151.66,52089.0,1850.11,37002.28,15086.72,7,1,1,Completed,30
