date_key,month_label,quarter_seq,business_quarter,net_sales,gross_profit,gross_margin,ordered_qty,shipped_qty,fill_rate,on_time_order_rate,ending_inventory_value,capacity_utilization,net_cashflow,closing_cash
202201,2022-01,1,Q01,0,0,0,0,0,0,0,0,0.0,284745,284745
202202,2022-02,1,Q01,0,0,0,0,0,0,0,0,0.0,368181,652926
202203,2022-03,1,Q01,0,0,0,0,0,0,0,0,0.0,1091074,1744000
202204,2022-04,2,Q02,0,0,0,0,0,0,0,259200,0.52,-198714,1545286
202205,2022-05,2,Q02,0,0,0,0,0,0,0,263250,0.008,-639215,906071
202206,2022-06,2,Q02,0,0,0,0,0,0,0,263250,0.0,-389555,516516
202207,2022-07,3,Q03,0,0,0,0,0,0,0,263250,0.0,-120101,396415
202208,2022-08,3,Q03,0,0,0,0,0,0,0,263250,0.0,-121566,274849
202209,2022-09,3,Q03,0,0,0,0,0,0,0,263250,0.0,-160069,114780
202210,2022-10,4,Q04,0,0,0,0,0,0,0,263250,0.0,0,114780
202211,2022-11,4,Q04,0,0,0,0,0,0,0,263250,0.0,0,114780
202212,2022-12,4,Q04,0,0,0,0,0,0,0,263250,0.0,0,114780
202301,2023-01,5,Q05,549427.0,162117.45,0.2951,200,200,1.0,1.0,255560,0.6667,79323,194103
202302,2023-02,5,Q05,609877.0,143924.3,0.236,222,222,1.0,0.875,254740,0.7533,36544,230647
202303,2023-03,5,Q05,643196.0,195952.94,0.3047,234,234,1.0,1.0,255560,0.7933,-85902,144745
202304,2023-04,6,Q06,380626.0,111766.13,0.2936,138,138,1.0,0.875,257380,0.4581,-102975,41770
202305,2023-05,6,Q06,425073.0,108076.2,0.2543,154,154,1.0,1.0,256970,0.5065,55352,97122
202306,2023-06,6,Q06,491701.0,140829.29,0.2864,179,179,1.0,0.875,257380,0.5871,229338,326460
202307,2023-07,7,Q07,0,0,0,0,0,0,0,263250,0.0091,-87820,238640
202308,2023-08,7,Q07,0,0,0,0,0,0,0,263250,0.0,-96699,141941
202309,2023-09,7,Q07,0,0,0,0,0,0,0,263250,0.0,-79258,62683
202310,2023-10,8,Q08,676859.0,201263.51,0.2973,246,246,1.0,0.875,257380,0.6308,-53249,9434
202311,2023-11,8,Q08,829194.0,269634.59,0.3252,301,301,1.0,1.0,253740,0.7795,139393,148827
202312,2023-12,8,Q08,943947.0,261786.0,0.2773,343,343,1.0,0.875,447950,1.0,14208,163035
202401,2024-01,9,Q09,636814.0,178235.37,0.2799,166,166,1.0,0.9375,565880,0.446,-11472,151563
202402,2024-02,9,Q09,614207.0,151246.15,0.2462,159,159,1.0,0.875,565880,0.326,30555,182118
202403,2024-03,9,Q09,744279.0,201675.54,0.271,193,193,1.0,0.875,566290,0.394,-135175,46943
202404,2024-04,10,Q10,1213115.0,371720.73,0.3064,264,264,1.0,0.875,560480,0.4963,-3346,43597
202405,2024-05,10,Q10,1454005.0,446532.41,0.3071,317,317,1.0,1.0,560480,0.5963,170018,213615
202406,2024-06,10,Q10,1832880.0,509269.44,0.2779,399,399,1.0,0.9,553510,0.7481,109579,323194
202407,2024-07,11,Q11,1266745.0,358023.54,0.2826,460,460,1.0,1.0,777460,0.7814,162014,485208
202408,2024-08,11,Q11,1372126.0,388833.63,0.2834,499,499,1.0,0.8333,783330,0.7271,-206652,278556
202409,2024-09,11,Q11,1648629.0,523206.5,0.3174,599,599,1.0,1.0,783740,0.8657,-178191,100365
202410,2024-10,12,Q12,1059989.0,292925.97,0.2763,385,385,1.0,1.0,781100,0.5158,48672,149037
202411,2024-11,12,Q12,1140225.0,342849.57,0.3007,414,414,1.0,0.8,779690,0.5553,60982,210019
202412,2024-12,12,Q12,1474786.0,413365.52,0.2803,536,536,1.0,0.8462,777870,0.7171,127701,337720
202501,2025-01,13,Q13,1547692.0,431567.76,0.2788,563,563,1.0,0.8462,918390,0.9186,-47611,290109
202502,2025-02,13,Q13,1791381.0,469814.14,0.2623,651,651,1.0,0.9375,916160,0.9443,-210694,79415
202503,2025-03,13,Q13,2173427.0,634132.05,0.2918,790,790,1.0,0.8947,710890,0.9971,-76192,3223
202504,2025-04,14,Q14,2382019.0,674518.56,0.2832,866,866,1.0,0.9524,773820,0.9296,198136,201359
202505,2025-05,14,Q14,2161941.0,523277.54,0.242,786,786,1.0,0.9474,767720,0.8143,-175811,25548
202506,2025-06,14,Q14,2806040.0,773372.15,0.2756,1020,1020,1.0,0.9583,651320,0.998,327726,353274
