quarter_seq,business_quarter,net_sales,sales_qoq_growth,gross_profit,gross_margin,ordered_qty,shipped_qty,fill_rate,on_time_order_rate,avg_inventory_value,inventory_turnover,capacity_utilization,opening_cash,cash_inflow,cash_outflow,net_cashflow,closing_cash
1,Q01,0,0,0,0,0,0,0,0,0.0,0,0.0,0,10000000,8256000,1744000,1744000
2,Q02,0,0,0,0,0,0,0,0,261900.0,0,0.176,1744000,5024416,6251900,-1227484,516516
3,Q03,0,0,0,0,0,0,0,0,263250.0,0,0.0,516516,8264,410000,-401736,114780
4,Q04,0,0,0,0,0,0,0,0,263250.0,0,0.0,114780,0,0,0,114780
5,Q05,1802500.0,0,501994.69,0.2785,656,656,1.0,0.9583,255286.67,5.09,0.7378,114780,1806172,1776207,29965,144745
6,Q06,1297400.0,-0.2802,360671.62,0.278,471,471,1.0,0.9167,257243.33,3.64,0.5172,144745,3299715,3118000,181715,326460
7,Q07,0,-1.0,0,0,0,0,0,0,263250.0,0,0.003,326460,205223,469000,-263777,62683
8,Q08,2450000.0,0,732684.1,0.2991,890,890,1.0,0.9167,319690.0,5.37,0.8034,62683,2451002,2350650,100352,163035
9,Q09,1995300.0,-0.1856,531157.06,0.2662,518,518,1.0,0.8958,566016.67,2.59,0.3887,163035,1997908,2114000,-116092,46943
10,Q10,4500000.0,1.2553,1327522.58,0.295,980,980,1.0,0.9231,558156.67,5.68,0.6136,46943,4500751,4224500,276251,323194
11,Q11,4287500.0,-0.0472,1270063.67,0.2962,1558,1558,1.0,0.9459,781510.0,3.86,0.7914,323194,4292671,4515500,-222829,100365
12,Q12,3675000.0,-0.1429,1049141.06,0.2855,1335,1335,1.0,0.875,779553.33,3.37,0.5961,100365,3676605,3439250,237355,337720
13,Q13,5512500.0,0.5,1535513.95,0.2786,2004,2004,1.0,0.8958,848480.0,4.69,0.9533,337720,5517903,5852400,-334497,3223
14,Q14,7350000.0,0.3333,1971168.25,0.2682,2672,2672,1.0,0.9531,730953.33,7.36,0.914,3223,7350051,7000000,350051,353274
